PRISM Time Series Data
Location:  Lat: 32.2103   Lon: -111.0059   Elev: 754m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-10-10 - 2021-10-10
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Jul-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-11-13,0.00,6.4,14.2,22.1
2020-11-14,0.00,8.4,15.7,22.9
2020-11-15,0.00,7.0,14.9,22.8
2020-11-16,0.00,6.1,16.6,27.0
2020-11-17,0.00,12.4,22.2,32.1
2020-11-18,0.00,15.6,24.3,32.9
2020-11-19,0.00,15.4,24.1,32.9
2020-11-20,0.00,15.1,23.3,31.5
2020-11-21,0.00,14.5,22.7,30.9
2020-11-22,0.00,13.5,21.4,29.4
2020-11-23,0.00,12.3,21.4,30.4
2020-11-24,0.00,11.0,18.9,26.9
2020-11-25,0.00,6.9,14.6,22.3
2020-11-26,0.00,6.0,14.1,22.3
2020-11-27,0.00,5.2,13.7,22.2
2020-11-28,0.00,3.2,10.0,16.7
2020-11-29,0.00,2.5,12.1,21.7
2020-11-30,0.00,3.3,13.2,23.2
2020-12-01,0.00,6.0,14.2,22.4
2020-12-02,0.00,3.5,12.2,21.0
2020-12-03,0.00,3.1,11.2,19.3
2020-12-04,0.00,2.9,9.2,15.6
2020-12-05,0.00,1.0,9.9,18.9
2020-12-06,0.00,2.7,11.6,20.5
2020-12-07,0.00,3.5,13.4,23.2
2020-12-08,0.00,8.9,17.0,25.2
2020-12-09,0.00,11.4,18.6,25.9
2020-12-10,4.64,11.0,18.7,26.4
2020-12-11,1.71,7.2,11.0,14.8
2020-12-12,0.00,6.3,12.4,18.5
2020-12-13,0.00,5.3,12.7,20.0
2020-12-14,0.00,2.9,9.6,16.4
2020-12-15,0.00,2.0,10.3,18.7
2020-12-16,0.00,0.5,7.7,15.0
2020-12-17,0.00,0.6,9.1,17.5
2020-12-18,0.00,3.9,13.1,22.3
2020-12-19,0.00,2.3,10.4,18.4
2020-12-20,0.00,1.6,10.5,19.3
2020-12-21,0.00,1.4,11.7,22.0
2020-12-22,0.00,4.8,14.9,24.9
2020-12-23,0.00,5.3,14.6,23.9
2020-12-24,0.00,1.5,10.6,19.6
2020-12-25,0.00,3.6,10.0,16.3
2020-12-26,0.00,5.5,12.9,20.3
2020-12-27,0.00,5.0,13.5,22.0
2020-12-28,0.00,6.5,14.8,23.1
2020-12-29,0.00,8.2,15.4,22.5
2020-12-30,0.00,2.1,8.0,14.0
2020-12-31,0.00,0.6,7.9,15.1
2021-01-01,0.00,1.9,8.3,16.3
2021-01-02,0.00,1.9,8.2,17.0
2021-01-03,0.00,2.0,8.4,17.6
2021-01-04,0.00,1.8,8.8,18.5
2021-01-05,0.00,4.0,11.2,21.1
2021-01-06,0.00,3.5,11.6,21.6
2021-01-07,0.00,3.4,11.5,21.2
2021-01-08,0.00,4.0,11.7,22.3
2021-01-09,0.00,3.5,12.1,23.0
2021-01-10,0.00,1.4,8.4,17.8
2021-01-11,0.00,0.1,7.8,17.6
2021-01-12,0.00,4.8,9.9,17.3
2021-01-13,0.00,1.4,8.5,18.6
2021-01-14,0.00,1.3,9.3,20.7
2021-01-15,0.00,3.4,11.6,22.5
2021-01-16,0.00,4.1,13.1,24.0
2021-01-17,0.00,4.8,14.1,25.9
2021-01-18,0.00,5.0,14.0,26.1
2021-01-19,0.00,5.9,13.8,24.5
2021-01-20,0.00,10.9,16.0,23.3
2021-01-21,1.29,11.9,16.3,21.8
2021-01-22,1.62,7.8,12.9,19.4
2021-01-23,0.00,5.7,12.1,20.0
2021-01-24,0.93,6.8,12.8,18.9
2021-01-25,5.21,5.5,8.3,11.8
2021-01-26,9.58,1.8,6.4,11.7
2021-01-27,2.28,1.1,4.5,9.3
2021-01-28,0.00,1.8,8.1,16.0
2021-01-29,0.00,10.3,14.9,22.5
2021-01-30,4.92,6.0,13.0,21.6
2021-01-31,0.00,4.7,9.3,15.5
2021-02-01,0.00,4.5,13.4,22.8
2021-02-02,0.00,13.0,17.4,23.4
2021-02-03,0.00,13.3,18.1,24.6
2021-02-04,0.00,13.8,19.5,26.6
2021-02-05,0.00,6.0,13.6,22.7
2021-02-06,0.00,5.1,11.5,19.9
2021-02-07,0.00,4.3,11.9,21.6
2021-02-08,0.00,5.4,13.0,23.2
2021-02-09,0.00,6.6,14.4,24.3
2021-02-10,0.00,8.0,15.0,24.5
2021-02-11,0.00,7.9,14.9,22.9
2021-02-12,0.00,7.0,14.3,23.1
2021-02-13,0.00,7.7,14.8,23.5
2021-02-14,0.00,6.4,13.5,21.9
2021-02-15,0.00,4.2,9.4,16.2
2021-02-16,0.00,3.7,9.7,17.4
2021-02-17,0.00,6.0,10.8,18.3
2021-02-18,0.00,3.5,9.4,17.4
2021-02-19,0.00,2.2,8.3,16.4
2021-02-20,0.00,4.8,12.2,22.3
2021-02-21,0.00,6.2,15.6,27.1
2021-02-22,0.00,3.9,10.8,19.9
2021-02-23,0.00,3.5,12.8,24.6
2021-02-24,0.00,6.5,14.9,26.2
2021-02-25,0.00,7.3,15.2,25.7
2021-02-26,0.00,2.3,10.8,21.5
2021-02-27,0.00,1.9,10.8,21.8
2021-02-28,0.00,5.0,13.0,22.7
2021-03-01,0.00,1.9,7.7,14.1
2021-03-02,0.00,0.5,10.0,19.7
2021-03-03,0.00,9.3,16.9,25.3
2021-03-04,0.00,8.1,17.7,27.6
2021-03-05,0.00,6.9,13.6,19.6
2021-03-06,0.00,6.0,16.3,26.6
2021-03-07,0.00,13.2,20.5,28.4
2021-03-08,0.00,11.7,20.8,30.4
2021-03-09,0.00,17.0,22.0,27.5
2021-03-10,0.00,7.7,16.4,25.4
2021-03-11,0.00,5.7,12.8,20.5
2021-03-12,0.00,4.9,12.7,20.5
2021-03-13,12.29,3.3,10.3,17.6
2021-03-14,1.20,3.8,8.2,13.1
2021-03-15,0.00,4.0,11.2,18.6
2021-03-16,0.84,6.6,13.6,21.1
2021-03-17,0.00,2.8,8.3,14.3
2021-03-18,0.00,2.6,11.9,21.6
2021-03-19,0.00,6.2,16.5,27.0
2021-03-20,0.00,9.1,18.5,28.3
2021-03-21,0.00,10.7,19.6,28.8
2021-03-22,0.00,11.5,18.7,26.4
2021-03-23,0.00,7.9,13.4,19.2
2021-03-24,1.05,7.8,15.0,22.4
2021-03-25,0.00,7.0,12.5,18.2
2021-03-26,0.00,7.1,13.7,20.6
2021-03-27,0.00,6.4,12.7,19.2
2021-03-28,0.00,6.3,14.3,22.6
2021-03-29,0.00,7.9,17.8,28.1
2021-03-30,0.00,12.7,21.2,30.4
2021-03-31,0.00,10.7,20.1,29.8
2021-04-01,0.00,10.6,20.6,30.3
2021-04-02,0.00,14.6,24.6,32.2
2021-04-03,0.00,13.3,22.1,30.8
2021-04-04,0.00,13.0,22.8,32.4
2021-04-05,0.00,13.9,24.2,34.4
2021-04-06,0.00,13.9,23.8,33.3
2021-04-07,0.00,11.1,20.9,30.1
2021-04-08,0.00,10.4,20.6,30.4
2021-04-09,0.00,13.8,22.7,31.3
2021-04-10,0.00,12.0,21.8,31.1
2021-04-11,0.00,11.4,22.2,32.3
2021-04-12,0.00,13.2,22.7,31.7
2021-04-13,0.00,15.7,23.7,31.5
2021-04-14,0.00,14.4,22.5,30.4
2021-04-15,0.00,14.4,22.3,30.0
2021-04-16,0.00,13.3,20.8,28.1
2021-04-17,0.00,8.9,17.5,25.6
2021-04-18,0.00,8.3,18.0,26.9
2021-04-19,0.00,10.3,18.0,25.6
2021-04-20,0.00,11.7,19.9,27.8
2021-04-21,0.00,11.7,21.5,31.0
2021-04-22,0.00,13.6,22.0,30.1
2021-04-23,0.00,10.0,18.7,27.3
2021-04-24,0.00,9.7,18.2,26.6
2021-04-25,0.00,11.4,21.5,31.2
2021-04-26,0.00,13.4,23.7,33.0
2021-04-27,0.00,12.8,20.4,27.9
2021-04-28,1.92,11.0,14.7,18.6
2021-04-29,0.00,9.4,15.5,21.4
2021-04-30,0.00,9.1,18.9,28.3
2021-05-01,0.00,17.0,24.1,31.9
2021-05-02,0.00,16.9,25.6,34.4
2021-05-03,0.00,16.1,24.5,32.8
2021-05-04,0.00,14.0,21.4,29.1
2021-05-05,0.00,13.3,22.7,32.2
2021-05-06,0.00,14.3,24.6,34.8
2021-05-07,0.00,16.5,26.5,36.7
2021-05-08,0.00,16.5,25.8,35.2
2021-05-09,0.00,15.4,24.1,32.3
2021-05-10,0.00,14.5,24.3,33.4
2021-05-11,0.00,13.7,24.1,33.3
2021-05-12,0.00,14.2,24.0,33.7
2021-05-13,0.00,15.6,25.6,35.6
2021-05-14,0.00,16.1,26.6,37.1
2021-05-15,0.00,17.4,27.0,36.6
2021-05-16,0.00,18.0,26.5,35.2
2021-05-17,0.00,14.7,23.9,32.9
2021-05-18,0.00,13.2,21.5,29.2
2021-05-19,0.00,16.0,23.7,31.5
2021-05-20,0.00,18.6,26.9,35.3
2021-05-21,0.00,20.6,28.1,35.6
2021-05-22,0.00,13.5,22.4,31.4
2021-05-23,0.00,10.5,20.3,30.2
2021-05-24,0.00,10.1,20.0,29.9
2021-05-25,0.00,10.6,22.2,33.1
2021-05-26,0.00,14.1,24.9,35.5
2021-05-27,0.00,17.1,26.3,35.4
2021-05-28,0.00,16.2,25.6,34.9
2021-05-29,0.00,16.3,26.6,37.0
2021-05-30,0.00,17.2,27.1,37.0
2021-05-31,0.00,17.6,26.9,36.3
2021-06-01,0.00,20.7,28.1,36.2
2021-06-02,0.00,19.2,27.9,37.0
2021-06-03,0.00,21.1,29.2,37.5
2021-06-04,0.00,22.0,30.0,38.2
2021-06-05,0.00,21.8,29.8,38.1
2021-06-06,0.00,21.3,29.7,38.5
2021-06-07,0.00,19.8,28.8,38.0
2021-06-08,0.00,20.1,28.6,37.4
2021-06-09,0.00,18.3,27.2,36.3
2021-06-10,0.00,18.1,28.2,38.6
2021-06-11,0.00,18.4,27.9,37.7
2021-06-12,0.00,19.3,29.2,39.4
2021-06-13,0.00,19.5,30.8,42.3
2021-06-14,0.00,22.2,32.7,43.4
2021-06-15,0.00,23.7,33.5,43.6
2021-06-16,0.00,26.3,35.6,45.1
2021-06-17,0.00,27.6,35.9,44.6
2021-06-18,0.00,26.8,35.2,44.0
2021-06-19,0.00,26.9,35.4,44.1
2021-06-20,0.00,26.4,35.0,43.8
2021-06-21,0.00,27.9,35.0,42.3
2021-06-22,0.00,26.2,32.7,39.5
2021-06-23,0.00,25.7,30.8,36.2
2021-06-24,1.53,24.0,29.7,35.6
2021-06-25,0.00,23.4,30.0,36.8
2021-06-26,0.00,24.6,31.4,38.4
2021-06-27,0.00,23.5,31.2,39.1
2021-06-28,0.00,23.5,32.2,41.3
2021-06-29,0.00,26.4,32.3,38.6
2021-06-30,0.00,26.0,31.3,37.0
2021-07-01,1.26,24.8,30.8,36.7
2021-07-02,0.05,24.5,30.5,36.5
2021-07-03,9.20,23.9,30.2,36.4
2021-07-04,6.66,22.6,28.5,34.4
2021-07-05,0.61,23.1,28.9,34.6
2021-07-06,0.00,26.3,31.8,37.2
2021-07-07,0.00,26.1,32.8,39.5
2021-07-08,1.91,24.7,32.6,40.6
2021-07-09,0.00,25.2,33.1,41.1
2021-07-10,0.00,27.8,34.6,41.4
2021-07-11,10.82,22.6,32.0,41.5
2021-07-12,0.00,24.7,32.1,39.4
2021-07-13,24.11,22.6,30.5,38.4
2021-07-14,3.75,23.5,30.6,37.7
2021-07-15,5.97,22.9,27.0,31.1
2021-07-16,5.81,23.3,27.9,32.4
2021-07-17,0.64,22.8,27.4,31.9
2021-07-18,1.57,22.8,29.3,35.8
2021-07-19,9.31,22.8,28.0,33.3
2021-07-20,3.04,24.1,30.4,36.8
2021-07-21,4.07,24.7,31.3,38.0
2021-07-22,2.03,24.9,31.7,38.5
2021-07-23,35.29,20.5,28.5,36.4
2021-07-24,5.77,21.7,24.5,27.4
2021-07-25,44.27,20.3,22.2,24.0
2021-07-26,14.22,19.3,22.6,25.8
2021-07-27,0.31,20.0,26.9,33.9
2021-07-28,7.80,21.8,28.8,35.7
2021-07-29,0.00,22.3,29.2,36.1
2021-07-30,4.39,21.7,28.9,36.1
2021-07-31,8.34,21.0,28.1,35.1
2021-08-01,0.00,21.8,28.4,34.9
2021-08-02,0.00,24.3,30.2,36.2
2021-08-03,0.00,24.6,31.2,37.8
2021-08-04,0.00,25.1,32.2,39.3
2021-08-05,0.00,24.4,32.6,40.8
2021-08-06,0.00,27.1,33.2,39.2
2021-08-07,0.00,25.0,31.5,38.1
2021-08-08,0.00,24.0,30.4,36.9
2021-08-09,1.22,23.3,29.9,36.6
2021-08-10,3.19,23.6,27.2,30.7
2021-08-11,19.44,20.5,26.4,32.2
2021-08-12,9.27,21.1,26.5,31.9
2021-08-13,0.00,22.0,27.1,32.3
2021-08-14,15.03,21.0,26.9,32.8
2021-08-15,4.56,20.9,25.8,30.7
2021-08-16,0.00,23.2,28.2,33.2
2021-08-17,8.85,20.7,27.5,34.3
2021-08-18,1.97,20.8,25.8,30.9
2021-08-19,0.00,22.6,27.6,32.5
2021-08-20,0.01,21.9,27.5,33.1
2021-08-21,0.00,21.4,27.8,34.1
2021-08-22,0.00,21.7,28.7,35.8
2021-08-23,0.00,21.9,29.1,36.4
2021-08-24,0.00,21.7,29.2,36.7
2021-08-25,0.00,22.5,29.6,36.7
2021-08-26,0.00,22.7,31.0,39.2
2021-08-27,0.00,23.9,32.1,40.3
2021-08-28,0.18,24.9,32.5,40.2
2021-08-29,2.83,24.4,31.3,38.2
2021-08-30,0.00,23.1,30.9,38.7
2021-08-31,3.62,23.7,30.7,37.7
2021-09-01,10.09,21.1,26.5,32.0
2021-09-02,0.00,21.0,26.2,31.3
2021-09-03,0.00,21.5,27.3,33.1
2021-09-04,0.41,21.3,28.2,35.2
2021-09-05,0.43,24.3,30.5,36.7
2021-09-06,10.29,21.1,29.4,37.8
2021-09-07,0.00,21.5,28.7,35.9
2021-09-08,0.00,23.4,29.7,36.0
2021-09-09,0.00,23.5,31.0,38.4
2021-09-10,0.00,22.6,30.6,38.6
2021-09-11,0.00,22.4,30.4,38.4
2021-09-12,0.00,21.6,29.9,38.3
2021-09-13,0.00,21.1,30.0,39.0
2021-09-14,0.00,21.1,30.1,39.1
2021-09-15,0.00,20.4,29.3,38.1
2021-09-16,0.00,19.7,28.6,37.5
2021-09-17,0.00,19.9,28.9,38.0
2021-09-18,0.00,21.7,28.5,35.3
2021-09-19,1.02,21.4,28.6,35.7
2021-09-20,0.40,19.4,27.4,35.3
2021-09-21,0.00,18.2,26.8,35.5
2021-09-22,0.00,18.0,27.0,36.0
2021-09-23,0.00,20.4,28.2,36.0
2021-09-24,0.00,18.5,24.1,29.7
2021-09-25,0.05,18.0,24.7,31.3
2021-09-26,6.24,19.1,26.0,32.8
2021-09-27,3.43,18.2,22.8,27.5
2021-09-28,0.00,18.6,23.5,28.4
2021-09-29,0.00,19.1,25.0,30.8
2021-09-30,2.19,17.4,24.0,30.7
2021-10-01,1.68,16.6,22.8,28.9
2021-10-02,0.00,15.5,22.7,30.0
2021-10-03,0.00,14.5,23.1,31.8
2021-10-04,0.00,17.5,25.5,33.4
2021-10-05,0.00,18.7,26.6,34.5
2021-10-06,0.84,17.4,24.9,32.3
2021-10-07,0.00,15.8,23.9,32.0
2021-10-08,0.00,16.8,24.7,32.7
2021-10-09,0.00,16.7,25.6,34.5
2021-10-10,0.00,13.2,21.8,30.4
